Seed	Class	Train Time
55	1	1.8850429058074951
55	2	77.5252833366394
56	0	29.17967128753662
56	1	4.50960373878479
56	2	61.147408962249756
57	0	14.067323684692383
57	1	1.2400314807891846
57	2	77.0812714099884
58	0	13.22180438041687
58	1	2.093048572540283
58	2	4.062090158462524
59	0	21.923503398895264
59	1	1.5595362186431885
59	2	14.942843675613403
60	0	6.381647109985352
60	1	0.9460251331329346
60	2	0.6060183048248291
61	0	12.111717224121094
61	1	1.0570166110992432
61	2	77.38838815689087
62	0	16.47279453277588
62	1	1.9670305252075195
62	2	77.27938342094421
63	0	12.344721555709839
63	1	2.5880515575408936
63	2	77.33588433265686
64	0	15.319775104522705
64	1	2.9160563945770264
64	2	77.40788507461548
65	0	17.64180874824524
65	1	1.2420191764831543
65	2	5.8081042766571045
66	0	4.069573163986206
66	1	1.555525779724121
66	2	76.60887169837952
67	0	9.336138486862183
67	1	3.1475441455841064
67	2	76.7420973777771
68	0	7.918615341186523
68	1	2.76554012298584
68	2	0.8775126934051514
69	0	15.130716562271118
69	1	0.9810101985931396
69	2	77.00663661956787
70	0	11.55916428565979
70	1	1.016514539718628
70	2	7.040100336074829
71	0	9.353632926940918
71	1	0.9690151214599609
71	2	77.84911394119263
72	0	25.843868494033813
72	1	1.1435167789459229
72	2	77.58861327171326
73	0	23.80283832550049
73	1	2.517035722732544
73	2	77.10548853874207
74	0	8.612603902816772
74	1	1.503516674041748
74	2	77.30740594863892
75	0	7.849592208862305
75	1	0.986008882522583
75	2	77.49790692329407
76	0	20.577242374420166
76	1	0.39000511169433594
76	2	77.41340255737305
77	0	4.253049850463867
77	1	0.3605070114135742
77	2	4.198546648025513
78	0	19.86873435974121
78	1	0.9055137634277344
78	2	77.42690587043762
79	0	14.708170890808105
79	1	2.19152569770813
79	2	77.85789632797241
80	0	7.202069520950317
80	1	5.4240562915802
80	2	77.56276035308838
81	0	76.88775300979614
81	1	1.2540159225463867
81	2	77.33075833320618
82	0	12.48862075805664
82	1	1.4360096454620361
82	2	77.27875876426697
83	0	13.282129526138306
83	1	0.9780125617980957
83	2	34.99734377861023
84	0	7.780074834823608
84	1	1.4755148887634277
84	2	77.35275912284851
85	0	7.634074687957764
85	1	1.2005109786987305
85	2	1.271059274673462
86	0	11.30209469795227
86	1	1.572016954421997
86	2	77.37715458869934
87	0	3.2120277881622314
87	1	1.2295105457305908
87	2	76.88615345954895
88	0	21.819184064865112
88	1	3.601027011871338
88	2	78.91466808319092
89	0	4.083535671234131
89	1	0.907005786895752
89	2	77.81166434288025
90	0	6.37705659866333
90	1	3.7065317630767822
90	2	1.771515130996704
91	0	13.53261685371399
91	1	0.30750250816345215
91	2	6.399056673049927
92	0	7.597564220428467
92	1	1.4500088691711426
92	2	1.5570130348205566
93	0	32.42174410820007
93	1	2.6270194053649902
93	2	76.70858073234558
94	0	20.319653034210205
94	1	5.520540952682495
94	2	0.6235034465789795
95	0	8.756066799163818
95	1	8.90556812286377
95	2	76.3260715007782
96	0	14.623108863830566
96	1	2.651517391204834
96	2	77.33258080482483
97	0	8.960068464279175
97	1	1.3130104541778564
97	2	76.66557550430298
98	0	16.32607913017273
98	1	1.2070086002349854
98	2	77.28357744216919
99	0	27.23368763923645
99	1	0.9785070419311523
99	2	77.82353568077087
