Seed	Class	Mean	Std
55	0	[9.99860525e-01 7.52852181e-09 1.39513650e-04]	[0. 0. 0.]
55	1	[0.05923744 0.31373062 0.62703194]	[0.20125154 0.45710037 0.46165327]
55	2	[1.00000000e+00 1.35174519e-41 0.00000000e+00]	[0.00000000e+00 3.01957002e-40 0.00000000e+00]
56	0	[1. 0. 0.]	[0. 0. 0.]
56	1	[0.01558716 0.64168573 0.34272711]	[0.10160157 0.47643615 0.46655507]
56	2	[0.03872434 0.19275378 0.76852189]	[0.18286026 0.39019888 0.41463858]
57	0	[1.00000000e+00 5.54294659e-19 1.19032562e-11]	[0. 0. 0.]
57	1	[0.11709037 0.73835151 0.14455812]	[0.30883096 0.42976714 0.3386848 ]
57	2	[0. 0. 1.]	[0. 0. 0.]
58	0	[0.76908918 0.00896941 0.22194141]	[0.42130971 0.01636519 0.40494452]
58	1	[0.0102292  0.61917528 0.37059552]	[0.05732701 0.48289876 0.47398861]
58	2	[1.49345327e-05 4.11987617e-04 9.99573082e-01]	[1.08607394e-05 5.40634625e-04 5.43635548e-04]
59	0	[1. 0. 0.]	[0. 0. 0.]
59	1	[0.05334971 0.43178311 0.51486718]	[0.21239791 0.48658045 0.4867868 ]
59	2	[1.25482893e-05 2.31492752e-03 9.97672498e-01]	[0. 0. 0.]
60	0	[1.00000000e+00 1.27126740e-22 2.80620172e-13]	[0.00000000e+00 1.95053410e-23 4.30561826e-14]
60	1	[0.04598722 0.54901713 0.40499565]	[0.15419682 0.48694685 0.46052193]
60	2	[8.37331875e-02 4.49241716e-04 9.15817581e-01]	[0.2593937  0.00298967 0.25934727]
61	0	[1.00000000e+00 0.00000000e+00 2.43708276e-35]	[0. 0. 0.]
61	1	[0.01366087 0.55819605 0.42814309]	[0.08189832 0.48509317 0.47985473]
61	2	[0.32008242 0.002      0.67791758]	[0.46444888 0.04467662 0.46521869]
62	0	[0.51152465 0.00108371 0.48739164]	[0.49618304 0.00688476 0.49527474]
62	1	[0.05082517 0.57719932 0.37197551]	[0.18564926 0.48923541 0.46645805]
62	2	[2.20000000e-02 3.00235223e-09 9.77999997e-01]	[1.46683332e-01 9.44601278e-08 1.46683332e-01]
63	0	[1. 0. 0.]	[0. 0. 0.]
63	1	[0.00129811 0.95100923 0.04769266]	[0.03174061 0.21582741 0.21241544]
63	2	[0. 0. 1.]	[0. 0. 0.]
64	0	[1.00000000e+00 3.57615221e-24 1.94275087e-14]	[0. 0. 0.]
64	1	[0.00987566 0.78220433 0.20792001]	[0.08962922 0.41174541 0.40287791]
64	2	[1. 0. 0.]	[0. 0. 0.]
65	0	[1.00000000e+00 0.00000000e+00 9.86495902e-40]	[0. 0. 0.]
65	1	[0.01217326 0.7324128  0.25541394]	[0.0713124  0.43789035 0.42340436]
65	2	[0.16869296 0.0123833  0.81892374]	[0.35108963 0.07219058 0.35366905]
66	0	[9.89916390e-01 5.22442900e-07 1.00830713e-02]	[9.94886380e-02 6.18865509e-06 9.94839756e-02]
66	1	[0.21406691 0.76380033 0.02213276]	[0.40787116 0.41932246 0.13137479]
66	2	[0. 1. 0.]	[0. 0. 0.]
67	0	[1.00000000e+00 0.00000000e+00 1.16385762e-32]	[0. 0. 0.]
67	1	[0.12669786 0.54051274 0.3327894 ]	[0.32050588 0.49066373 0.4590498 ]
67	2	[0. 1. 0.]	[0. 0. 0.]
68	0	[1.00000000e+00 7.08358573e-20 1.56879663e-13]	[0. 0. 0.]
68	1	[0.01674237 0.42995497 0.55330266]	[0.09897891 0.49094418 0.48714275]
68	2	[0.37792913 0.02359829 0.59847258]	[0.47972661 0.11812428 0.47616746]
69	0	[1.00000000e+00 0.00000000e+00 1.03709206e-34]	[0. 0. 0.]
69	1	[0.23651079 0.6089194  0.15456981]	[0.37958658 0.4785732  0.31072544]
69	2	[0. 1. 0.]	[0. 0. 0.]
70	0	[1. 0. 0.]	[0. 0. 0.]
70	1	[0.01441772 0.36057274 0.62500955]	[0.09080089 0.4681647  0.4665006 ]
70	2	[9.85650977e-05 8.72872800e-02 9.12614136e-01]	[2.54009837e-04 2.81746196e-01 2.81716141e-01]
71	0	[1.00000000e+00 5.66522301e-19 1.33553266e-10]	[0. 0. 0.]
71	1	[0.04063744 0.44285879 0.51650378]	[0.146271   0.48459875 0.47005411]
71	2	[0.00502823 0.88014373 0.11482804]	[0.05472517 0.31567122 0.30970148]
72	0	[9.99960211e-01 3.20224750e-08 3.97591788e-05]	[1.14380926e-03 8.66260981e-07 1.14294467e-03]
72	1	[0.00832195 0.27128618 0.72039187]	[0.0521612  0.43843271 0.43669675]
72	2	[0. 0. 1.]	[0. 0. 0.]
73	0	[1.00000000e+00 0.00000000e+00 1.83182152e-33]	[0. 0. 0.]
73	1	[0.02655416 0.83549798 0.13794786]	[0.15484233 0.36625146 0.33855539]
73	2	[0.04314101 0.         0.95685899]	[0.20004319 0.         0.20004319]
74	0	[9.99999881e-01 7.85899937e-14 1.51826228e-07]	[0. 0. 0.]
74	1	[0.01167164 0.49736515 0.49096321]	[0.06374557 0.49605277 0.48863882]
74	2	Empty	Empty
75	0	[1.00000000e+00 7.71829589e-39 2.72766979e-24]	[0. 0. 0.]
75	1	[3.74680835e-04 6.76291052e-01 3.23334269e-01]	[0.00175304 0.46228061 0.46188095]
75	2	[7.77069106e-20 1.00000000e+00 0.00000000e+00]	[0. 0. 0.]
76	0	[1.00000000e+00 4.62181574e-24 3.71305092e-14]	[0. 0. 0.]
76	1	[4.78630796e-29 1.00000000e+00 8.31679065e-29]	[1.05028620e-27 0.00000000e+00 1.36292427e-27]
