Seed	Class	Train Time
28	2	25.507499933242798
28	3	25.48299789428711
28	4	25.71100091934204
29	1	3.955000877380371
29	2	25.5310001373291
29	3	14.367002725601196
29	4	25.457000494003296
30	1	2.2935001850128174
30	2	25.575999975204468
30	3	25.749999523162842
30	4	25.55000114440918
31	1	18.577502727508545
31	2	25.356998205184937
31	3	25.441997289657593
31	4	25.447999954223633
32	1	5.098999738693237
32	2	25.490997314453125
32	3	25.593497037887573
32	4	25.358997583389282
33	1	18.522500038146973
33	2	25.614997625350952
33	3	25.561500549316406
33	4	25.644001960754395
34	1	2.063002824783325
34	2	25.561999320983887
34	3	25.501502752304077
34	4	25.551503896713257
35	1	5.992499828338623
35	2	25.562000274658203
35	3	25.409000158309937
35	4	25.49799942970276
36	1	4.942500114440918
36	2	25.447997331619263
36	3	27.53250241279602
36	4	25.47350001335144
37	1	2.905001163482666
37	2	25.308000087738037
37	3	25.428502559661865
37	4	25.545999765396118
38	1	7.342002868652344
38	2	25.40749716758728
38	3	25.509999990463257
38	4	25.54699993133545
39	1	6.405500173568726
39	2	25.611499786376953
39	3	25.549500226974487
39	4	25.501498699188232
40	1	11.140000343322754
40	2	25.471000909805298
40	3	25.40399742126465
40	4	25.568999528884888
41	1	5.390000581741333
41	2	25.43049907684326
41	3	25.510501861572266
41	4	24.36499786376953
42	1	2.6185033321380615
42	2	23.910499811172485
42	3	23.81350016593933
42	4	23.642500638961792
43	1	1.7275002002716064
43	2	23.74899983406067
43	3	23.692999124526978
43	4	23.664002656936646
44	1	1.559999942779541
44	2	13.583495616912842
44	3	23.74550223350525
44	4	23.72249960899353
45	1	5.3429975509643555
45	2	7.675002574920654
45	3	23.880000591278076
45	4	23.714500427246094
46	1	4.4850029945373535
46	2	23.7760009765625
46	3	23.693501949310303
46	4	23.7739999294281
47	1	6.843000888824463
47	2	23.630499839782715
47	3	23.86049795150757
47	4	23.856499671936035
48	1	3.7335004806518555
48	2	21.196505784988403
48	3	23.931504726409912
48	4	23.53000235557556
49	1	13.766999959945679
49	2	23.67650032043457
49	3	23.737998008728027
49	4	23.80350089073181
50	1	2.7939975261688232
50	2	23.819997310638428
50	3	13.457000255584717
50	4	23.707499980926514
51	1	6.79350209236145
51	2	23.716500997543335
51	3	23.878498077392578
51	4	23.769500017166138
52	1	4.212002992630005
52	2	23.706496715545654
52	3	23.886003017425537
52	4	23.76349925994873
53	1	5.46149754524231
53	2	23.740999937057495
53	3	23.567503213882446
53	4	23.630499601364136
54	1	2.813499689102173
54	2	23.66600012779236
54	3	23.791999340057373
54	4	9.172504186630249
55	1	3.0495004653930664
55	2	23.757999658584595
55	3	23.845997095108032
55	4	23.572997570037842
56	1	4.488500356674194
56	2	23.740001916885376
56	3	23.753501653671265
56	4	23.59900212287903
57	1	2.701002597808838
57	2	23.807501316070557
57	3	23.78349995613098
57	4	23.634498596191406
58	1	5.582504749298096
58	2	17.16650104522705
58	3	23.554502725601196
58	4	23.58999991416931
59	1	4.137000322341919
59	2	23.608999967575073
59	3	23.780499935150146
59	4	23.819499731063843
60	1	5.524500131607056
60	2	23.77299737930298
60	3	23.78700017929077
60	4	23.71549916267395
61	1	2.0475001335144043
61	2	23.7645001411438
61	3	23.64650058746338
61	4	23.608002424240112
62	1	3.0914995670318604
62	2	23.618496656417847
62	3	23.778499841690063
62	4	23.622002601623535
63	1	4.818497657775879
63	2	6.021498680114746
63	3	33.3904972076416
63	4	23.50350284576416
64	1	1.845000982284546
64	2	23.797502279281616
64	3	23.724497079849243
64	4	23.77499771118164
65	1	6.280501842498779
65	2	23.73699975013733
65	3	23.573002815246582
65	4	23.723000049591064
66	1	15.25350046157837
66	2	23.869001150131226
66	3	23.830995559692383
66	4	23.76600217819214
67	1	1.5910027027130127
67	2	17.712997436523438
67	3	23.858500003814697
67	4	23.830999851226807
68	1	17.49049735069275
68	2	23.951500177383423
68	3	23.83149528503418
68	4	23.840497493743896
69	1	6.469500780105591
69	2	23.711499452590942
69	3	23.825499773025513
69	4	23.80500030517578
70	1	7.086502313613892
70	2	23.721498012542725
70	3	23.9069983959198
70	4	23.702999353408813
71	1	4.150996923446655
71	2	21.940499782562256
71	3	9.588000297546387
71	4	23.867496967315674
72	1	3.7690019607543945
72	2	23.714500427246094
72	3	23.808499813079834
72	4	23.49499750137329
73	1	3.7184977531433105
73	2	23.818500995635986
73	3	23.85499930381775
73	4	23.828999757766724
74	1	2.8950014114379883
74	2	23.361501932144165
74	3	23.002501249313354
74	4	22.510998487472534
75	1	5.467504262924194
75	2	22.822000741958618
75	3	22.778000116348267
75	4	22.662498474121094
76	1	12.897998332977295
76	2	22.677000522613525
76	3	22.82550048828125
