Seed	Class	Iterations	Train Time
90	1	100	36.00619578361511
90	0	100	31.658668041229248
91	1	100	38.92770576477051
91	0	100	32.55367469787598
92	1	100	30.188657760620117
92	0	100	34.39218258857727
93	1	100	165.02787494659424
93	0	100	34.086180448532104
94	1	100	40.49171471595764
94	0	100	32.13717079162598
95	1	100	38.781705379486084
95	0	100	31.985167264938354
96	1	100	35.5946900844574
96	0	100	32.894174575805664
97	1	100	40.81471562385559
97	0	100	34.070680141448975
98	1	100	38.77820563316345
98	0	100	37.06169414520264
99	1	100	39.94120907783508
99	0	100	32.92267060279846
